"","Cntrl001ARM","Cntrl001PA","Cntrl002ARM","Cntrl002PA","Cntrl003ARM","Cntrl003PA","Cntrl004ARM","Cntrl004PA","Cntrl005ARM","Cntrl005PA","Cntrl007ARM","Cntrl007PA","Cntrl008ARM","Cntrl008PA","phvted1155ARM","phvted1155PA","phvted1163ARM","phvted1163PA","phvted1171ARM","phvted1171PA","phvted1173ARM","phvted1173PA","phvted1183ARM","phvted1183PA","phvted1192ARM","phvted1192PA","phvted1208ARM","phvted1208PA","phvted1210ARM","phvted1210PA","phvted1213ARM","phvted1213PA","phvted1216ARM","phvted1216PA","phvted1217ARM","phvted1217PA","phvted1220ARM","phvted1220PA","phvted1229ARM","phvted1229PA","phvted1232ARM","phvted1232PA","phvted1233ARM","phvted1233PA","phvted1234ARM","phvted1234PA","phvted1235ARM","phvted1235PA","phvted1236ARM","phvted1236PA","phvted1252ARM","phvted1252PA","phvted1253ARM","phvted1253PA","phvted1254ARM","phvted1254PA","phvted1262ARM","phvted1262PA","phvted1263ARM","phvted1263PA"
"A2ML1",0,1.11661031950447,0,0,0.96024266346366,0,0.976678051483085,4.81027677059671,2.49707779636653,0,0,2.25073040533589,0,0,2.14388115051641,2.65097965596016,3.88189831470053,1.84223022195043,1.58649955778882,1.67976905687117,1.66947836958074,0,4.93776082452507,0,5.87204198224733,7.03160512173948,0.853456566739409,5.62452748059551,5.15740185102809,0.90336041188616,1.78204185811468,2.02433537153303,1.89144859494401,5.29285656086808,5.96437016342095,1.56689438507792,0.994497367625839,2.88230774358775,0,4.40716098069133,1.56998972676932,6.24413369670392,3.01160700131467,4.89002485995659,1.8939640955896,2.90867386046954,1.9369302809092,4.92118670102066,5.35936728117104,0,2.24253542023938,0.843347079760424,3.51016702499938,9.06605372557457,6.89538220050286,1.04647567607529,4.20603811614812,0,0,2.29448360486151
"AACSP1",1.83645054820952,1.11661031950447,0,0,0,0,0.976678051483085,0,1.66471853091102,0,0,0,1.1382702941344,0,4.28776230103283,2.65097965596016,0.776379662940106,2.76334533292564,3.17299911557765,1.67976905687117,0.834739184790369,3.59689715642465,0.987552164905013,3.63685581640121,2.34881679289893,1.17193418695658,0.853456566739409,4.01751962899679,1.7191339503427,4.5168020594308,6.23714650340137,6.07300611459909,7.56579437977606,1.05857131217362,3.72773135213809,5.48413034777271,0,2.88230774358775,0,3.3053707355185,0,7.28482264615457,0,1.95600994398263,3.78792819117919,1.93911590697969,6.7792559831822,13.7793227628579,0,12.4452197168347,2.24253542023938,1.68669415952085,0,0,6.89538220050286,7.32532973252702,7.01006352691353,0,2.15293941556704,2.29448360486151
"AADACL4",0,0,0,0,0,2.04402631810915,1.95335610296617,0,0,0,0,1.12536520266795,0,1.03330681376868,1.07194057525821,0,0,1.84223022195043,3.17299911557765,1.67976905687117,0.834739184790369,1.19896571880822,0.987552164905013,7.27371163280242,1.17440839644947,9.37547349565265,3.41382626695763,0.803503925799358,2.57870092551405,0.90336041188616,0,3.03650305729954,0,5.29285656086808,3.72773135213809,0.783447192538958,6.96148157338087,1.92153849572517,0,1.10179024517283,0.784994863384658,16.6510231912104,1.00386900043822,3.91201988796527,0,0,3.8738605618184,0.984237340204132,0,0.888944265488192,4.48507084047876,0,0,0,1.14923036675048,1.04647567607529,5.60805082153082,7.87920926793453,5.3823485389176,1.14724180243076
"AAGAB",330.561098677713,289.202072751658,894.285540010584,472.431093926233,1047.62474583885,429.24552680292,407.274747468447,455.052182498449,457.797596000531,451.653446478754,303.507353239548,518.793358429924,425.713090006267,327.558259964671,434.135932979574,446.690072029287,388.189831470053,396.079497719341,430.734629939666,275.482125326872,380.641068264408,322.521778359411,319.966901429224,375.505363043425,379.333912053177,387.910215882628,377.227802498819,408.983498231873,424.626085734646,441.743241412332,406.305543650146,300.613802672655,483.265116008196,373.675673197287,357.862209805257,361.952602952999,375.920004962567,430.424623042437,393.874928579747,276.549351538381,336.762796392018,359.037687560475,435.679146190189,381.421939076614,395.838495978226,338.375725767956,446.462429749571,402.55307214349,466.26495346188,463.139962319348,365.533273499019,407.336639524285,380.268094374933,340.480684360467,316.038350856381,401.846659612911,438.829976784787,449.114928272268,339.087957951809,404.976356258057
"AARD",0,0,0,0,0,0,0,0,0.832359265455511,2.91389320308874,0,0,0,0,1.07194057525821,1.32548982798008,3.10551865176043,1.84223022195043,1.58649955778882,2.51965358530675,1.66947836958074,0,1.97510432981003,2.72764186230091,5.87204198224733,9.37547349565265,0,0.803503925799358,0.859566975171349,0.90336041188616,1.78204185811468,1.01216768576651,1.89144859494401,5.29285656086808,5.21882389299333,0.783447192538958,2.98349210287752,1.92153849572517,0,0,0.784994863384658,0,1.00386900043822,4.89002485995659,0.946982047794798,5.81734772093907,0.9684651404546,1.96847468040826,0.893227880195173,0.888944265488192,2.24253542023938,0.843347079760424,1.17005567499979,1.00733930284162,2.29846073350095,1.04647567607529,1.40201270538271,11.8188139019018,4.30587883113408,4.58896720972303
"AATK-AS1",0,1.11661031950447,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65097965596016,0,0,0,0.839884528435584,0,0,0,7.27371163280242,3.5232251893484,4.68773674782632,0.853456566739409,0,0,0,0,5.06083842883257,1.89144859494401,2.11714262434723,0,0,0.994497367625839,2.88230774358775,0,1.10179024517283,0.784994863384658,3.12206684835196,0,0,0,3.87823181395938,0,0.984237340204132,0,0,4.48507084047876,1.68669415952085,2.34011134999959,2.01467860568324,2.29846073350095,2.09295135215058,0,3.93960463396726,1.07646970778352,4.58896720972303
"ABCC10",154.261846049599,156.325444730626,138.463302469625,295.678583034663,106.586935644466,175.786263357386,148.455063825429,250.134392071029,133.177482472882,142.780766951348,236.302153593648,194.688180061555,94.4764344131555,232.494033097953,154.359442837182,181.592106433271,122.667986744537,125.271655092629,95.9832232462239,126.822563793773,102.672919729215,109.105880411548,157.020794219897,166.386153600355,132.70814879879,120.709221256528,138.259963811784,153.469249827677,127.21591232536,107.499889014453,103.358427770651,161.946829722642,122.944158671361,138.672841894744,126.742865972695,130.835681154006,135.251641997114,171.977695367402,116.258248639315,163.064956285579,140.514080545854,123.841984984628,132.510708057846,133.98668116281,106.061989353017,141.555461209517,133.648189382735,107.28187008225,130.411270508495,156.454190725922,82.973810548857,118.91193824622,150.937182074973,154.122913334768,121.818418875551,127.670032481185,103.74894019832,97.1769143045258,128.099895226239,118.165905650368
"ABCG5",0,2.23322063900894,0,0,0,0,1.95335610296617,1.92411070823868,0.832359265455511,2.91389320308874,0,4.50146081067179,0,0,4.28776230103283,5.30195931192031,0,1.84223022195043,0,0.839884528435584,0.834739184790369,2.39793143761644,0.987552164905013,3.63685581640121,3.5232251893484,0,11.9483919343517,4.82102355479615,0,0,0,2.02433537153303,1.89144859494401,10.5857131217362,0.745546270427619,0,0,0,0,11.0179024517283,4.70996918030795,4.16275579780261,4.01547600175289,2.93401491597395,1.8939640955896,7.75646362791877,2.9053954213638,0.984237340204132,4.46613940097586,3.55577706195277,2.24253542023938,3.3733883190417,5.85027837499897,1.00733930284162,1.14923036675048,7.32532973252702,7.01006352691353,15.7584185358691,6.45881824670112,4.58896720972303
"ABHD14B",172.626351531694,188.707143996256,122.84714053696,140.747369784028,133.473730221449,178.85230283455,132.8282150017,176.056129803839,104.877267447394,122.383514529727,169.096953947748,210.443292898906,249.281194415434,216.994430891422,154.359442837182,112.666635378307,145.95937663274,96.7170866523973,141.198460643205,170.496559272424,136.897226305621,142.676920538178,149.120376900657,135.472879160945,125.661698420093,103.130208452179,102.414788008729,107.669526057114,128.075479300531,136.40742219481,120.287825422741,119.435786920449,146.587266108161,119.618558275619,94.6843763443076,120.650867651,109.394710438842,80.704616820457,138.30722682953,122.298717214185,125.599178141545,181.079877204414,78.3017820341814,94.8664822831578,143.941271264809,175.489989581662,81.3510717981864,130.90356624715,138.450321430252,106.673311858583,118.854377272687,91.9248316938862,207.099854474964,141.027502397827,122.967649242301,106.740518959679,166.839511940542,139.19936373351,103.341091947218,158.319368735444
"ABHD16B",0.918225274104758,0,0,0,5.76145598078196,1.02201315905457,2.93003415444926,0,0,3.88519093745165,0,0,0,0,3.21582172577462,6.62744913990039,0,3.68446044390085,5.55274845226088,5.03930717061351,0.834739184790369,3.59689715642465,1.97510432981003,1.8184279082006,0,4.68773674782632,5.12073940043645,4.01751962899679,1.7191339503427,0.90336041188616,0,1.01216768576651,6.62007008230405,4.23428524869447,8.20100897470381,2.35034157761687,1.98899473525168,1.92153849572517,3.00667884412021,11.0179024517283,1.56998972676932,0,1.00386900043822,6.84603480393922,4.73491023897399,0.969557953489846,0,1.96847468040826,0.893227880195173,3.55577706195277,1.12126771011969,1.68669415952085,2.34011134999959,3.02201790852486,5.74615183375238,6.27885405645173,9.81408893767894,3.93960463396726,0,2.29448360486151
"ABL2",235.983895444923,155.208834411122,294.624921796269,262.946636573261,126.752031577203,286.16368453528,250.02958117967,376.163643460663,134.842201003793,218.541990231655,194.027915106711,276.839839856315,384.735359417428,146.729567555152,162.934967439248,212.078372476813,246.888732814954,213.698705746249,163.409454452249,110.024873225062,189.485794947414,193.033480728123,160.971002879517,139.109734977346,177.335667863869,157.039181052182,264.571535689217,134.988659534292,166.755993183242,159.89479290385,164.838871875608,177.12934500914,151.315887595521,227.592832117328,344.44237693756,185.676984631733,160.11407618776,170.056156871677,163.362883863865,133.316619665913,223.723536064628,160.266098215401,209.808621091589,131.052666246837,179.926589081012,206.515844093337,225.652377725922,187.989331978989,143.809688711423,339.576709416489,111.005503301849,161.922639314001,121.685790199979,147.071538214876,188.473780147078,185.226194665326,187.869702521283,225.87066568079,146.399880258559,146.846950711137
"ABR",2036.62365796435,1833.47414462634,1634.49161561888,2014.10577225826,2171.10866209134,1933.64889693125,1919.17237116426,1811.55023180672,1836.18453959486,1996.01684411578,1945.6989252321,2272.11234418659,2060.26923238327,2182.34399067945,1602.55116001102,1648.90934600722,2083.02663566831,1946.31622949062,1664.23803612048,1715.8840915939,1664.469934472,1714.52097789575,1682.78888899814,1583.85070804273,1828.55387327182,1752.04160950009,1683.01634961011,1680.12670884646,1748.35922749852,1870.85941301624,1770.45858603693,1915.02126147025,1797.82188949429,1721.2369535943,2100.94939006503,1986.8220802788,1850.75960115169,1691.91464548601,1562.47077266113,1622.93703113958,1916.95745638534,1811.83946099359,1907.35110083262,1936.44984454281,1903.43391606754,1887.72933544473,1525.33259621599,1561.00042156375,1713.21107421434,1836.5588524986,1915.12524888443,2014.75617354765,1697.7507844247,1759.82176206431,1612.37020455092,1477.62365461831,1811.40041535446,1587.66066748881,2215.37465861849,1686.44544957321
"AC005358.3",0,0,24.9858590922631,0,0,0,1.95335610296617,0,0,0.971297734362912,0,0,0,0,2.14388115051641,5.30195931192031,0.776379662940106,1.84223022195043,3.17299911557765,0.839884528435584,0,1.19896571880822,2.96265649471504,0.909213954100302,0,0,0,3.21401570319743,0,3.61344164754464,0,1.01216768576651,0.945724297472007,2.11714262434723,0,0,0.994497367625839,0,1.0022262813734,1.10179024517283,2.35498459015397,4.16275579780261,3.01160700131467,6.84603480393922,0,0.969557953489846,0,0.984237340204132,0,1.77788853097638,0,7.59012371784381,0,1.00733930284162,4.59692146700191,0,7.01006352691353,5.25280617862302,0,6.88345081458454
"AC006372.4",2.75467582231427,5.58305159752236,0,0,0,0,4.88339025741543,0.962055354119342,3.32943706182204,0,3.25186449899515,0,4.55308117653761,0,8.57552460206566,9.27842879586055,0,4.60557555487606,2.37974933668324,0,3.33895673916148,9.59172575046574,16.7883868033852,2.72764186230091,2.34881679289893,5.8596709347829,4.26728283369704,10.4455510353917,1.7191339503427,4.5168020594308,1.78204185811468,3.03650305729954,7.56579437977606,9.52714180956255,4.47327762256571,3.13378877015583,6.96148157338087,6.72538473503809,7.01558396961382,11.0179024517283,0.784994863384658,23.935845837365,3.01160700131467,6.84603480393922,1.8939640955896,5.81734772093907,5.8107908427276,4.92118670102066,2.67968364058552,10.6673311858583,3.36380313035907,11.8068591166459,16.3807794499971,3.02201790852486,5.74615183375238,6.27885405645173,9.81408893767894,10.505612357246,6.45881824670112,5.73620901215379
"AC007750.5",0,3.34983095851342,0,0,0,0,0,0,0.832359265455511,0,0,0,0,0,7.50358402680745,2.65097965596016,1.55275932588021,3.68446044390085,1.58649955778882,1.67976905687117,0.834739184790369,2.39793143761644,3.95020865962005,0,1.17440839644947,1.17193418695658,0,0.803503925799358,0.859566975171349,0,2.67306278717202,0,1.89144859494401,3.17571393652085,0.745546270427619,1.56689438507792,1.98899473525168,0,0,7.71253171620983,0,1.04068894945065,1.00386900043822,3.91201988796527,0.946982047794798,1.93911590697969,0.9684651404546,1.96847468040826,0,2.66683279646458,0,0,0,0,4.59692146700191,4.18590270430115,0,1.31320154465575,11.8411667856187,0
"AC009501.4",8.26402746694282,6.69966191702683,1.04107746217763,2.18212976409345,1.92048532692732,3.06603947716372,7.81342441186468,0.962055354119342,9.15595192001062,5.82778640617747,2.16790966599677,0,1.1382702941344,1.03330681376868,5.35970287629104,17.231367763741,6.98741696646096,13.8167266646282,11.1054969045218,8.39884528435585,8.34739184790369,7.19379431284931,11.8506259788602,10.0013534951033,9.39526717159573,14.063210243479,6.82765253391527,4.82102355479615,6.87653580137079,7.22688329508928,8.91020929057339,8.09734148613212,8.51151867724806,10.5857131217362,5.96437016342095,7.83447192538958,8.95047630863255,1.92153849572517,4.00890512549361,11.0179024517283,7.84994863384658,5.20344474725326,3.01160700131467,4.89002485995659,10.4168025257428,4.84778976744923,5.8107908427276,7.87389872163306,3.57291152078069,13.3341639823229,3.36380313035907,8.43347079760424,9.36044539999835,8.05871442273295,6.89538220050286,7.32532973252702,23.834215991506,3.93960463396726,3.22940912335056,14.9141434315998
"AC009948.5",30.301434045457,37.9647508631521,22.9037041679079,99.2869042662522,44.1711625193284,118.55352645033,41.9971562137727,71.1920962048313,66.5887412364409,75.7612232803071,48.7779674849273,23.6326692560269,2.27654058826881,54.7652611297399,39.6618012845537,33.137245699502,27.1732882029037,19.3434173304795,45.2152373969815,49.5531871776995,33.3895673916148,22.7803486573561,36.5394301014855,42.7330558427142,38.7554770828324,25.7825521130448,29.0175232691399,32.1401570319743,23.2083083296264,36.1344164754464,33.8587953041789,43.5232104879601,38.7746961963523,15.8785696826043,73.0635345019067,25.8537573537856,16.9064552496393,28.8230774358775,25.0556570343351,37.4608683358763,25.1198356283091,7.28482264615457,30.1160700131467,22.4941143558003,29.3564434816387,52.3561294884517,21.3062330900012,29.527120206124,26.7968364058552,42.6693247434332,31.3954958833513,25.3004123928127,12.8706124249977,20.1467860568324,35.6261413692648,36.6266486626351,37.854343045333,7.87920926793453,12.9176364934022,39.0062212826457
