"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032755","GO:0032755","positive regulation of interleukin-6 production","2/7","99/17073",0.00068588622331723,0.0495181749430181,0.0219335324135307,"IL17RA/POU2F2",2
"GO:0032635","GO:0032635","interleukin-6 production","2/7","174/17073",0.00209705054102838,0.0495181749430181,0.0219335324135307,"IL17RA/POU2F2",2
"GO:0032675","GO:0032675","regulation of interleukin-6 production","2/7","174/17073",0.00209705054102838,0.0495181749430181,0.0219335324135307,"IL17RA/POU2F2",2
"GO:0019336","GO:0019336","phenol-containing compound catabolic process","1/7","10/17073",0.00409356169633468,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0035771","GO:0035771","interleukin-4-mediated signaling pathway","1/7","10/17073",0.00409356169633468,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0032754","GO:0032754","positive regulation of interleukin-5 production","1/7","11/17073",0.00450212672406303,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0033089","GO:0033089","positive regulation of T cell differentiation in thymus","1/7","11/17073",0.00450212672406303,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0035723","GO:0035723","interleukin-15-mediated signaling pathway","1/7","11/17073",0.00450212672406303,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0070669","GO:0070669","response to interleukin-2","1/7","11/17073",0.00450212672406303,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0071350","GO:0071350","cellular response to interleukin-15","1/7","11/17073",0.00450212672406303,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0097400","GO:0097400","interleukin-17-mediated signaling pathway","1/7","11/17073",0.00450212672406303,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0006068","GO:0006068","ethanol catabolic process","1/7","12/17073",0.00491054807636226,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0070672","GO:0070672","response to interleukin-15","1/7","12/17073",0.00491054807636226,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0098761","GO:0098761","cellular response to interleukin-7","1/7","12/17073",0.00491054807636226,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0098760","GO:0098760","response to interleukin-7","1/7","13/17073",0.00531882579533938,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:1905907","GO:1905907","negative regulation of amyloid fibril formation","1/7","13/17073",0.00531882579533938,0.0495181749430181,0.0219335324135307,"PFDN1",1
"GO:0032736","GO:0032736","positive regulation of interleukin-13 production","1/7","14/17073",0.00572695992309047,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0034310","GO:0034310","primary alcohol catabolic process","1/7","15/17073",0.0061349505017021,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0072537","GO:0072537","fibroblast activation","1/7","15/17073",0.0061349505017021,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0045579","GO:0045579","positive regulation of B cell differentiation","1/7","16/17073",0.00654279757325149,0.0495181749430181,0.0219335324135307,"IL2RG",1
"GO:0034035","GO:0034035","purine ribonucleoside bisphosphate metabolic process","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0042402","GO:0042402","cellular biogenic amine catabolic process","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0045820","GO:0045820","negative regulation of glycolytic process","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"SLC4A1",1
"GO:0050427","GO:0050427","3'-phosphoadenosine 5'-phosphosulfate metabolic process","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0097396","GO:0097396","response to interleukin-17","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0097398","GO:0097398","cellular response to interleukin-17","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:1905906","GO:1905906","regulation of amyloid fibril formation","1/7","17/17073",0.00695050117980489,0.0495181749430181,0.0219335324135307,"PFDN1",1
"GO:0009310","GO:0009310","amine catabolic process","1/7","19/17073",0.00776547816614415,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0032634","GO:0032634","interleukin-5 production","1/7","20/17073",0.00817275163001385,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0032674","GO:0032674","regulation of interleukin-5 production","1/7","20/17073",0.00817275163001385,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0006067","GO:0006067","ethanol metabolic process","1/7","21/17073",0.0085798817970576,0.0495181749430181,0.0219335324135307,"SULT1A3",1
"GO:0032616","GO:0032616","interleukin-13 production","1/7","21/17073",0.0085798817970576,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0032656","GO:0032656","regulation of interleukin-13 production","1/7","21/17073",0.0085798817970576,0.0495181749430181,0.0219335324135307,"IL17RA",1
"GO:0035809","GO:0035809","regulation of urine volume","1/7","21/17073",0.0085798817970576,0.0495181749430181,0.0219335324135307,"SLC4A1",1
"GO:0045591","GO:0045591","positive regulation of regulatory T cell differentiation","1/7","21/17073",0.0085798817970576,0.0495181749430181,0.0219335324135307,"IL2RG",1
