"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070922","GO:0070922","RISC complex assembly","1/4","10/17073",0.00234102847423934,0.0399793648248844,0.0129329909317983,"CLP1",1
"GO:0032754","GO:0032754","positive regulation of interleukin-5 production","1/4","11/17073",0.00257490504260971,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0043951","GO:0043951","negative regulation of cAMP-mediated signaling","1/4","11/17073",0.00257490504260971,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:1901844","GO:1901844","regulation of cell communication by electrical coupling involved in cardiac conduction","1/4","11/17073",0.00257490504260971,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0006388","GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation","1/4","12/17073",0.00280874048862023,0.0399793648248844,0.0129329909317983,"CLP1",1
"GO:1901077","GO:1901077","regulation of relaxation of muscle","1/4","12/17073",0.00280874048862023,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0010959","GO:0010959","regulation of metal ion transport","2/4","383/17073",0.00292287583305387,0.0399793648248844,0.0129329909317983,"PDE4D/SIK1",2
"GO:0000394","GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation","1/4","13/17073",0.00304253481709116,0.0399793648248844,0.0129329909317983,"CLP1",1
"GO:0009214","GO:0009214","cyclic nucleotide catabolic process","1/4","14/17073",0.00327628803284341,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0010649","GO:0010649","regulation of cell communication by electrical coupling","1/4","15/17073",0.00351000014069658,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0090209","GO:0090209","negative regulation of triglyceride metabolic process","1/4","15/17073",0.00351000014069658,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0045721","GO:0045721","negative regulation of gluconeogenesis","1/4","17/17073",0.00397730105198524,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0055119","GO:0055119","relaxation of cardiac muscle","1/4","17/17073",0.00397730105198524,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0086103","GO:0086103","G protein-coupled receptor signaling pathway involved in heart process","1/4","18/17073",0.00421088986505946,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0032634","GO:0032634","interleukin-5 production","1/4","20/17073",0.00467794423016188,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0032674","GO:0032674","regulation of interleukin-5 production","1/4","20/17073",0.00467794423016188,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0006378","GO:0006378","mRNA polyadenylation","1/4","22/17073",0.00514483427932644,0.0399793648248844,0.0129329909317983,"CLP1",1
"GO:0010866","GO:0010866","regulation of triglyceride biosynthetic process","1/4","22/17073",0.00514483427932644,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0045822","GO:0045822","negative regulation of heart contraction","1/4","22/17073",0.00514483427932644,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0046058","GO:0046058","cAMP metabolic process","1/4","23/17073",0.00537821769747671,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:1903523","GO:1903523","negative regulation of blood circulation","1/4","23/17073",0.00537821769747671,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:2000209","GO:2000209","regulation of anoikis","1/4","23/17073",0.00537821769747671,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","1/4","24/17073",0.00561156005109598,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0060314","GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","1/4","24/17073",0.00561156005109598,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0086064","GO:0086064","cell communication by electrical coupling involved in cardiac conduction","1/4","25/17073",0.00584486134500162,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0009648","GO:0009648","photoperiodism","1/4","27/17073",0.00631134077293871,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0010460","GO:0010460","positive regulation of heart rate","1/4","27/17073",0.00631134077293871,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0033137","GO:0033137","negative regulation of peptidyl-serine phosphorylation","1/4","27/17073",0.00631134077293871,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0071880","GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway","1/4","27/17073",0.00631134077293871,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0009649","GO:0009649","entrainment of circadian clock","1/4","29/17073",0.00677765601982028,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0043949","GO:0043949","regulation of cAMP-mediated signaling","1/4","29/17073",0.00677765601982028,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0010880","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/4","31/17073",0.00724380712417427,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0090075","GO:0090075","relaxation of muscle","1/4","31/17073",0.00724380712417427,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0010644","GO:0010644","cell communication by electrical coupling","1/4","32/17073",0.00747682113494219,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0045777","GO:0045777","positive regulation of blood pressure","1/4","32/17073",0.00747682113494219,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0043276","GO:0043276","anoikis","1/4","33/17073",0.00770979412452355,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0071875","GO:0071875","adrenergic receptor signaling pathway","1/4","33/17073",0.00770979412452355,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0032743","GO:0032743","positive regulation of interleukin-2 production","1/4","34/17073",0.00794272609773383,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0086004","GO:0086004","regulation of cardiac muscle cell contraction","1/4","35/17073",0.00817561705938696,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0014808","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/4","36/17073",0.00840846701429743,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:1903514","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","1/4","37/17073",0.00864127596727859,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0052652","GO:0052652","cyclic purine nucleotide metabolic process","1/4","38/17073",0.00887404392314461,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0009187","GO:0009187","cyclic nucleotide metabolic process","1/4","39/17073",0.0091067708867083,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0045823","GO:0045823","positive regulation of heart contraction","1/4","39/17073",0.0091067708867083,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:1903524","GO:1903524","positive regulation of blood circulation","1/4","40/17073",0.00933945686278259,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0019432","GO:0019432","triglyceride biosynthetic process","1/4","41/17073",0.00957210185618085,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0070296","GO:0070296","sarcoplasmic reticulum calcium ion transport","1/4","41/17073",0.00957210185618085,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:1903115","GO:1903115","regulation of actin filament-based movement","1/4","41/17073",0.00957210185618085,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process","1/4","44/17073",0.0102697909884388,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0010830","GO:0010830","regulation of myotube differentiation","1/4","44/17073",0.0102697909884388,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0090207","GO:0090207","regulation of triglyceride metabolic process","1/4","44/17073",0.0102697909884388,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0003044","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","1/4","46/17073",0.0107347122514492,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0031124","GO:0031124","mRNA 3'-end processing","1/4","47/17073",0.0109671114498398,0.0399793648248844,0.0129329909317983,"CLP1",1
"GO:0006111","GO:0006111","regulation of gluconeogenesis","1/4","48/17073",0.0111994696992349,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0061028","GO:0061028","establishment of endothelial barrier","1/4","48/17073",0.0111994696992349,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0021695","GO:0021695","cerebellar cortex development","1/4","49/17073",0.011431787004445,0.0399793648248844,0.0129329909317983,"CLP1",1
"GO:0046460","GO:0046460","neutral lipid biosynthetic process","1/4","49/17073",0.011431787004445,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0046463","GO:0046463","acylglycerol biosynthetic process","1/4","49/17073",0.011431787004445,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0009261","GO:0009261","ribonucleotide catabolic process","1/4","50/17073",0.0116640633702804,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0019933","GO:0019933","cAMP-mediated signaling","1/4","51/17073",0.011896298801551,0.0399793648248844,0.0129329909317983,"PDE4D",1
"GO:0045912","GO:0045912","negative regulation of carbohydrate metabolic process","1/4","51/17073",0.011896298801551,0.0399793648248844,0.0129329909317983,"SIK1",1
"GO:0006195","GO:0006195","purine nucleotide catabolic process","1/4","53/17073",0.0123606468796357,0.0408698808116986,0.0132210654230399,"PDE4D",1
"GO:0072523","GO:0072523","purine-containing compound catabolic process","1/4","57/17073",0.0132888520326306,0.04256585416702,0.0137696986522324,"PDE4D",1
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","1/4","57/17073",0.0132888520326306,0.04256585416702,0.0137696986522324,"PDE4D",1
