"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044571","GO:0044571","[2Fe-2S] cluster assembly","1/3","10/17073",0.00175623423536153,0.0308267748323368,0.00611362429931926,"BOLA2",1
"GO:0097428","GO:0097428","protein maturation by iron-sulfur cluster transfer","1/3","13/17073",0.00228270324956037,0.0308267748323368,0.00611362429931926,"BOLA2",1
"GO:0090209","GO:0090209","negative regulation of triglyceride metabolic process","1/3","15/17073",0.002633579736247,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0045721","GO:0045721","negative regulation of gluconeogenesis","1/3","17/17073",0.00298437394929862,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0010866","GO:0010866","regulation of triglyceride biosynthetic process","1/3","22/17073",0.00386099959808173,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:2000209","GO:2000209","regulation of anoikis","1/3","23/17073",0.004036263043112,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","1/3","24/17073",0.00421150592938013,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0016226","GO:0016226","iron-sulfur cluster assembly","1/3","26/17073",0.0045619300304538,0.0308267748323368,0.00611362429931926,"BOLA2",1
"GO:0031163","GO:0031163","metallo-sulfur cluster assembly","1/3","26/17073",0.0045619300304538,0.0308267748323368,0.00611362429931926,"BOLA2",1
"GO:0009648","GO:0009648","photoperiodism","1/3","27/17073",0.00473711124767151,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0009649","GO:0009649","entrainment of circadian clock","1/3","29/17073",0.00508741202149732,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0043276","GO:0043276","anoikis","1/3","33/17073",0.00578776696047534,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0045454","GO:0045454","cell redox homeostasis","1/3","38/17073",0.00666274834241876,0.0308267748323368,0.00611362429931926,"BOLA2",1
"GO:0019432","GO:0019432","triglyceride biosynthetic process","1/3","41/17073",0.00718749067385083,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0010830","GO:0010830","regulation of myotube differentiation","1/3","44/17073",0.00771204817177584,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0090207","GO:0090207","regulation of triglyceride metabolic process","1/3","44/17073",0.00771204817177584,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0006111","GO:0006111","regulation of gluconeogenesis","1/3","48/17073",0.008411170706494,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0046460","GO:0046460","neutral lipid biosynthetic process","1/3","49/17073",0.00858590001562043,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0046463","GO:0046463","acylglycerol biosynthetic process","1/3","49/17073",0.00858590001562043,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0045912","GO:0045912","negative regulation of carbohydrate metabolic process","1/3","51/17073",0.00893529705285123,0.0308267748323368,0.00611362429931926,"SIK1",1
"GO:0046847","GO:0046847","filopodium assembly","1/3","67/17073",0.0117275185613671,0.0352201171565951,0.00698492025988919,"SPATA13",1
"GO:0051055","GO:0051055","negative regulation of lipid biosynthetic process","1/3","68/17073",0.0119018580559174,0.0352201171565951,0.00698492025988919,"SIK1",1
"GO:0006879","GO:0006879","intracellular iron ion homeostasis","1/3","70/17073",0.0122504755327287,0.0352201171565951,0.00698492025988919,"BOLA2",1
"GO:0030032","GO:0030032","lamellipodium assembly","1/3","70/17073",0.0122504755327287,0.0352201171565951,0.00698492025988919,"SPATA13",1
"GO:0002028","GO:0002028","regulation of sodium ion transport","1/3","84/17073",0.0146885021769702,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0006094","GO:0006094","gluconeogenesis","1/3","85/17073",0.0148624932590506,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0097581","GO:0097581","lamellipodium organization","1/3","87/17073",0.0152104139724228,0.0375676101910174,0.00745047951919491,"SPATA13",1
"GO:0019319","GO:0019319","hexose biosynthetic process","1/3","88/17073",0.0153843436061259,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0051153","GO:0051153","regulation of striated muscle cell differentiation","1/3","93/17073",0.0162536845930477,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0010906","GO:0010906","regulation of glucose metabolic process","1/3","96/17073",0.0167750434833366,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","1/3","97/17073",0.0169487888370238,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0043255","GO:0043255","regulation of carbohydrate biosynthetic process","1/3","100/17073",0.0174699020857413,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0006641","GO:0006641","triglyceride metabolic process","1/3","103/17073",0.017990831141265,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0045833","GO:0045833","negative regulation of lipid metabolic process","1/3","106/17073",0.0185115760361535,0.0375676101910174,0.00745047951919491,"SIK1",1
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","1/3","110/17073",0.0192056161468454,0.0378080352987164,0.00749816108136252,"SIK1",1
"GO:0042752","GO:0042752","regulation of circadian rhythm","1/3","113/17073",0.0197259314601999,0.0378080352987164,0.00749816108136252,"SIK1",1
"GO:0014902","GO:0014902","myotube differentiation","1/3","119/17073",0.0207660099631443,0.0387258023637015,0.00768017438181722,"SIK1",1
"GO:0055007","GO:0055007","cardiac muscle cell differentiation","1/3","129/17073",0.0224978388234228,0.0397043060651968,0.00787423308691928,"SIK1",1
"GO:0006639","GO:0006639","acylglycerol metabolic process","1/3","131/17073",0.0228439593856063,0.0397043060651968,0.00787423308691928,"SIK1",1
"GO:0006638","GO:0006638","neutral lipid metabolic process","1/3","132/17073",0.0230169890233025,0.0397043060651968,0.00787423308691928,"SIK1",1
