"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090209","GO:0090209","negative regulation of triglyceride metabolic process","1/1","15/17073",0.000878580214373592,0.0113512563697066,NA,"SIK1",1
"GO:0045721","GO:0045721","negative regulation of gluconeogenesis","1/1","17/17073",0.000995724242956686,0.0113512563697066,NA,"SIK1",1
"GO:0010866","GO:0010866","regulation of triglyceride biosynthetic process","1/1","22/17073",0.0012885843144147,0.0113512563697066,NA,"SIK1",1
"GO:2000209","GO:2000209","regulation of anoikis","1/1","23/17073",0.00134715632870608,0.0113512563697066,NA,"SIK1",1
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","1/1","24/17073",0.00140572834299757,0.0113512563697066,NA,"SIK1",1
"GO:0009648","GO:0009648","photoperiodism","1/1","27/17073",0.00158144438587238,0.0113512563697066,NA,"SIK1",1
"GO:0009649","GO:0009649","entrainment of circadian clock","1/1","29/17073",0.00169858841445558,0.0113512563697066,NA,"SIK1",1
"GO:0043276","GO:0043276","anoikis","1/1","33/17073",0.00193287647162199,0.0113512563697066,NA,"SIK1",1
"GO:0019432","GO:0019432","triglyceride biosynthetic process","1/1","41/17073",0.00240145258595448,0.0113512563697066,NA,"SIK1",1
"GO:0010830","GO:0010830","regulation of myotube differentiation","1/1","44/17073",0.00257716862882906,0.0113512563697066,NA,"SIK1",1
"GO:0090207","GO:0090207","regulation of triglyceride metabolic process","1/1","44/17073",0.00257716862882906,0.0113512563697066,NA,"SIK1",1
"GO:0006111","GO:0006111","regulation of gluconeogenesis","1/1","48/17073",0.00281145668599547,0.0113512563697066,NA,"SIK1",1
"GO:0046460","GO:0046460","neutral lipid biosynthetic process","1/1","49/17073",0.00287002870028708,0.0113512563697066,NA,"SIK1",1
"GO:0046463","GO:0046463","acylglycerol biosynthetic process","1/1","49/17073",0.00287002870028708,0.0113512563697066,NA,"SIK1",1
"GO:0045912","GO:0045912","negative regulation of carbohydrate metabolic process","1/1","51/17073",0.00298717272887017,0.0113512563697066,NA,"SIK1",1
"GO:0051055","GO:0051055","negative regulation of lipid biosynthetic process","1/1","68/17073",0.00398289697182685,0.0139726794093337,NA,"SIK1",1
