"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","60/1762","152/17073",2.42466639860259e-21,1.41770244326293e-17,1.30344961028036e-17,"LIN28A/IGF2BP1/RPS24/RPL5/RPL24/RPS2/RPL26/RWDD1/EIF3C/RPL21/RPL9/ZC3H15/PABPC1/RPL3/RPL34/RPL6/EIF3L/RPS8/EIF2S2/RPL36A/RPS5/EIF3E/RPL22/RPL15/RPS3A/RPS16/DHX29/RPL39/EIF3J/EIF3H/YBX1/RPL7/RPL10A/RPS27/RPL26L1/RPL23A/RPL32/RPLP1/RPL7A/EIF4A2/RPL11/RPS11/HNRNPU/SYNCRIP/DENR/EIF2S3/RPL14/RPS20/FAU/SH3BGRL/RPL35A/RPLP2/RPL36/EIF3D/EIF3A/EIF3M/DHX9/HNRNPD/ZNF385A/RPS29",60
"GO:0019079","GO:0019079","viral genome replication","41/1762","124/17073",4.95514535749203e-12,1.4486367452628e-08,1.33189091266904e-08,"LTF/VAPA/SMC5/DEK/PABPC1/EEF1A1/NUCKS1/PPIE/HTATSF1/LAMTOR5/SMC6/DDX5/ILF3/TOP2B/INPP5K/TRIM38/TBC1D20/NOTCH1/CCNK/STOM/APOBEC3C/ZC3HAV1/ZNFX1/ZFYVE1/ADAR/IFIT5/OAS1/ADARB1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/IFIT1/CCL8/RSAD2/CCL2/APOBEC3H",41
"GO:0009615","GO:0009615","response to virus","89/1762","423/17073",3.62006964287299e-11,7.05551573395947e-08,6.48691076005347e-08,"MST1R/IL6/IFNL4/MID2/DMBT1/POLR3G/CDK6/HIF1A/AKAP1/EEF1G/IVNS1ABP/AIMP1/DDX21/TPT1/LAMTOR5/HSP90AA1/URI1/DNAJC3/ENO1/CCT5/SAP30BP/ILF3/PQBP1/DHX9/TYK2/ATG7/IRF3/TRIM38/IRF5/NT5C2/STING1/SPN/MAP3K14/TRIM25/UNC13D/GBF1/POLR3A/IL17RA/LYST/APOBEC3C/MAPK14/UNC93B1/ZC3HAV1/TRIM56/ZNFX1/POU2F2/TREX1/IRF9/DDX60L/ADAR/TICAM1/SMAD3/LGALS9/TRIM5/SLFN13/STAT2/DTX3L/IFIT5/OAS1/MOV10/PML/ADARB1/PARP9/ISG20/RIGI/RTP4/DDX60/IFIH1/DHX58/IRF7/EIF2AK2/MX2/ZBP1/OASL/IFI44/HERC5/ISG15/IFIT2/OAS2/MX1/OAS3/IFI6/IFIT3/IFIT1/CCL8/IFI44L/RSAD2/USP18/APOBEC3H",89
"GO:0008380","GO:0008380","RNA splicing","88/1762","450/17073",2.28735203792729e-09,2.93852592298716e-06,2.70170971864932e-06,"RBMXL3/SLC39A5/HOXB-AS3/CELF3/RBFOX1/THOC5/RP9/NPM1/FRA10AC1/IVNS1ABP/ARB2A/ENY2/SNRPD1/SREK1IP1/FRG1/CWC15/PABPC1/PNN/C2orf49/HNRNPA3/PPIE/FXR1/HNRNPA1/PPIG/RBM39/HTATSF1/FAM50A/STRAP/DDX46/HNRNPC/TAF15/ZNF326/LSM3/HNRNPR/HNRNPH3/CWC25/SNRNP27/PRPF4B/SNRPG/PSIP1/RSRC1/LUC7L2/YBX1/NCL/ARL6IP4/SRRM1/TXNL4A/CWC27/NONO/ZMAT2/TCERG1/RBM17/HNRNPU/PRPF38A/C9orf78/SYNCRIP/SRSF9/RBMX/HNRNPH1/SMNDC1/HNRNPA2B1/HNRNPM/DDX5/TAF12/PPP4R2/PQBP1/THRAP3/WTAP/PRPF40A/DHX9/KHDRBS1/SNRNP200/HNRNPK/RBM42/DHX8/TRRAP/SF3A2/SF3B3/XAB2/SF3B4/PHF5A/RBM12B/SCAF1/SRSF7/PPIL2/FAM98B/POLR2A/ARMC7",88
"GO:0051607","GO:0051607","defense response to virus","69/1762","322/17073",2.63087259530566e-09,2.93852592298716e-06,2.70170971864932e-06,"IL6/IFNL4/MID2/DMBT1/POLR3G/AKAP1/AIMP1/DDX21/HSP90AA1/DNAJC3/ILF3/PQBP1/DHX9/ATG7/IRF3/TRIM38/IRF5/NT5C2/STING1/SPN/MAP3K14/TRIM25/UNC13D/POLR3A/LYST/APOBEC3C/UNC93B1/ZC3HAV1/TRIM56/ZNFX1/TREX1/IRF9/DDX60L/ADAR/TICAM1/TRIM5/SLFN13/STAT2/DTX3L/IFIT5/OAS1/MOV10/PML/ADARB1/PARP9/ISG20/RIGI/RTP4/DDX60/IFIH1/DHX58/IRF7/EIF2AK2/MX2/ZBP1/OASL/HERC5/ISG15/IFIT2/OAS2/MX1/OAS3/IFI6/IFIT3/IFIT1/IFI44L/RSAD2/USP18/APOBEC3H",69
"GO:0140546","GO:0140546","defense response to symbiont","69/1762","323/17073",3.01541911029981e-09,2.93852592298716e-06,2.70170971864932e-06,"IL6/IFNL4/MID2/DMBT1/POLR3G/AKAP1/AIMP1/DDX21/HSP90AA1/DNAJC3/ILF3/PQBP1/DHX9/ATG7/IRF3/TRIM38/IRF5/NT5C2/STING1/SPN/MAP3K14/TRIM25/UNC13D/POLR3A/LYST/APOBEC3C/UNC93B1/ZC3HAV1/TRIM56/ZNFX1/TREX1/IRF9/DDX60L/ADAR/TICAM1/TRIM5/SLFN13/STAT2/DTX3L/IFIT5/OAS1/MOV10/PML/ADARB1/PARP9/ISG20/RIGI/RTP4/DDX60/IFIH1/DHX58/IRF7/EIF2AK2/MX2/ZBP1/OASL/HERC5/ISG15/IFIT2/OAS2/MX1/OAS3/IFI6/IFIT3/IFIT1/IFI44L/RSAD2/USP18/APOBEC3H",69
"GO:0016032","GO:0016032","viral process","82/1762","414/17073",4.38366014222285e-09,3.66160869308243e-06,3.36651914982437e-06,"LTF/RFPL3/MID2/CDK1/CR2/ST6GALNAC3/VAPA/SMC5/DEK/PABPC1/EEF1A1/NUCKS1/PPIE/HTATSF1/EIF3L/HMGB1/SNX3/HSP90AB1/LAMTOR5/CALCOCO2/SMC6/VPS37B/CHMP1B/HDAC1/CANX/SPCS3/DENR/PSMC3/DDX5/ILF3/EIF3D/TOP2B/EIF3A/DHX9/MGAT1/EP300/SP1/SELPLG/MOGS/RNASEK/INPP5K/TRIM38/CSF1R/TBC1D20/GSK3A/HCFC1/EDEM2/USF1/NOTCH1/TRIM25/CCNK/STOM/APOBEC3C/ZC3HAV1/ZNFX1/ZFYVE1/PARP10/ST3GAL2/ADAR/LGALS9/HEXIM1/TRIM5/IFIT5/OAS1/ADARB1/PARP9/ISG20/IFIH1/IRF7/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/LY6E/IFIT1/CCL8/RSAD2/SIGLEC1/CCL2/APOBEC3H",82
"GO:0006397","GO:0006397","mRNA processing","90/1762","480/17073",1.28056590254699e-08,8.31955537857627e-06,7.64908127755826e-06,"RBMXL3/SLC39A5/HOXB-AS3/CELF3/RBFOX1/THOC5/NPM1/FRA10AC1/ARB2A/SNRPD1/SREK1IP1/FRG1/CWC15/PABPC1/PNN/CPSF6/HNRNPA3/PPIE/FXR1/HNRNPA1/RBM39/HTATSF1/FAM50A/BARD1/STRAP/DDX46/HNRNPC/ZNF326/LSM3/HNRNPR/HNRNPH3/CWC25/SNRNP27/PRPF4B/SNRPG/PSIP1/RSRC1/LUC7L2/HNRNPA0/YBX1/NCL/SLTM/ARL6IP4/SRRM1/XRN2/TXNL4A/CWC27/APP/NONO/ZMAT2/TCERG1/RBM17/HNRNPU/ZC3H14/PRPF38A/C9orf78/SYNCRIP/SRSF9/RBMX/HNRNPH1/SMNDC1/HNRNPA2B1/HNRNPM/DDX5/PPP4R2/PQBP1/THRAP3/WTAP/PRPF40A/DHX9/KHDRBS1/SNRNP200/HNRNPK/RBM42/DHX8/SF3A2/SF3B3/XAB2/SF3B4/PHF5A/SCAF1/SRSF7/PAN2/PPIL2/TRMT2A/ARMC7/ZFP36L1/ADAR/CMTR1/ADARB1",90
"GO:0045069","GO:0045069","regulation of viral genome replication","27/1762","80/17073",1.2805883086572e-08,8.31955537857627e-06,7.64908127755826e-06,"LTF/PABPC1/PPIE/DDX5/ILF3/TOP2B/INPP5K/TRIM38/NOTCH1/APOBEC3C/ZC3HAV1/ZNFX1/ADAR/IFIT5/OAS1/ADARB1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/IFIT1/RSAD2/APOBEC3H",27
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","64/1762","313/17073",6.41921514602963e-08,3.75331509588352e-05,3.45083492113403e-05,"RBMXL3/SLC39A5/CELF3/RBFOX1/NPM1/FRA10AC1/ARB2A/SNRPD1/FRG1/CWC15/PABPC1/PNN/HNRNPA3/PPIE/FXR1/HNRNPA1/RBM39/HTATSF1/STRAP/DDX46/HNRNPC/LSM3/HNRNPR/HNRNPH3/CWC25/SNRNP27/PRPF4B/SNRPG/PSIP1/RSRC1/LUC7L2/NCL/SRRM1/TXNL4A/CWC27/ZMAT2/RBM17/HNRNPU/PRPF38A/C9orf78/SYNCRIP/SRSF9/RBMX/HNRNPH1/SMNDC1/HNRNPA2B1/HNRNPM/DDX5/PQBP1/THRAP3/WTAP/PRPF40A/DHX9/KHDRBS1/SNRNP200/HNRNPK/RBM42/DHX8/SF3A2/SF3B3/XAB2/SF3B4/PHF5A/SRSF7",64
